text,label
This is a complex issue that deserves more discussion. Sample ID: 361,0
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 73,1
This is a well-written article with some interesting points. Sample ID: 374,0
This is a fair assessment of the situation. Sample ID: 155,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 104,1
"Well said, I agree with most of your points. Sample ID: 394",0
The comments here have been surprisingly constructive. Sample ID: 377,0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 124,1
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 68,1
Could you provide sources for this information? Sample ID: 450,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 9,1
I respect your opinion even though I see it differently. Sample ID: 194,0
I found this to be a thoughtful piece. Sample ID: 406,0
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 84,1
I'd like to add some context to this discussion. Sample ID: 371,0
I appreciate the thoughtful analysis presented here. Sample ID: 388,0
Let's keep the discussion civil and productive. Sample ID: 495,0
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 30,1
Thanks for bringing attention to this issue. Sample ID: 316,0
I respect your opinion even though I see it differently. Sample ID: 408,0
"This is exactly what I was looking for, thank you. Sample ID: 490",0
I disagree with the author but respect their viewpoint. Sample ID: 491,0
Let's keep the discussion civil and productive. Sample ID: 280,0
I appreciate the thoughtful analysis presented here. Sample ID: 356,0
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 76,1
I respect your opinion even though I see it differently. Sample ID: 461,0
I think there are valid arguments on both sides. Sample ID: 497,0
I found this article to be very informative. Sample ID: 211,0
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 101,1
I respect your opinion even though I see it differently. Sample ID: 334,0
I think we should focus on the facts here. Sample ID: 475,0
I learned something new from this post. Sample ID: 336,0
I'd like to add some context to this discussion. Sample ID: 440,0
"Thanks for sharing this information, it was very helpful. Sample ID: 173",0
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 2,1
"Thanks for sharing this information, it was very helpful. Sample ID: 333",0
"Great discussion, everyone has made good points. Sample ID: 409",0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 70,1
"This is exactly what I was looking for, thank you. Sample ID: 209",0
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 63,1
This is a complex issue that deserves more discussion. Sample ID: 384,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 93,1
I would like to see more evidence for this claim. Sample ID: 485,0
I think there are valid arguments on both sides. Sample ID: 185,0
[MOCKUP TOXIC] Placeholder for hostile speech detection testing. Sample ID: 33,1
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 77,1
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 0,1
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 11,1
This is a well-written article with some interesting points. Sample ID: 415,0
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 22,1
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 72,1
"Well said, I agree with most of your points. Sample ID: 182",0
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 131,1
Thanks for bringing attention to this issue. Sample ID: 410,0
"Thanks for sharing this information, it was very helpful. Sample ID: 193",0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 55,1
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 148,1
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 18,1
This needs more context to understand fully. Sample ID: 204,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 78,1
I learned something new from this post. Sample ID: 494,0
I think we should consider multiple perspectives here. Sample ID: 262,0
I appreciate the balanced approach here. Sample ID: 323,0
This is a fair assessment of the situation. Sample ID: 483,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 79,1
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 39,1
I disagree with the author but respect their viewpoint. Sample ID: 451,0
[MOCKUP TOXIC] This is a synthetic negative comment. Sample ID: 46,1
Thanks for bringing attention to this issue. Sample ID: 238,0
"This is exactly what I was looking for, thank you. Sample ID: 391",0
I'd like to add some context to this discussion. Sample ID: 352,0
I think we can find common ground on this. Sample ID: 341,0
"Great discussion, everyone has made good points. Sample ID: 277",0
Could you explain more about this point? Sample ID: 290,0
I appreciate the thoughtful analysis presented here. Sample ID: 317,0
This is a well-written article with some interesting points. Sample ID: 304,0
I would like to see more evidence for this claim. Sample ID: 268,0
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 69,1
I appreciate the balanced approach here. Sample ID: 455,0
I found this article to be very informative. Sample ID: 465,0
I think we can find common ground on this. Sample ID: 154,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 82,1
I really appreciate your perspective on this topic. Sample ID: 477,0
I'd like to add some context to this discussion. Sample ID: 172,0
I think we should focus on the facts here. Sample ID: 321,0
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 90,1
Could you provide sources for this information? Sample ID: 180,0
I appreciate the thoughtful analysis presented here. Sample ID: 414,0
I would like to see more evidence for this claim. Sample ID: 312,0
I appreciate the thoughtful analysis presented here. Sample ID: 278,0
This article raises important questions. Sample ID: 381,0
That's an interesting point of view. Sample ID: 472,0
I found this article to be very informative. Sample ID: 362,0
I appreciate the balanced approach here. Sample ID: 324,0
This is a well-written article with some interesting points. Sample ID: 431,0
This is a well-written article with some interesting points. Sample ID: 347,0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 86,1
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 75,1
I disagree with the author but respect their viewpoint. Sample ID: 438,0
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 15,1
Could you explain more about this point? Sample ID: 249,0
I disagree with the author but respect their viewpoint. Sample ID: 433,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 19,1
"This is exactly what I was looking for, thank you. Sample ID: 322",0
"Thanks for sharing this information, it was very helpful. Sample ID: 332",0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 56,1
I disagree with the author but respect their viewpoint. Sample ID: 301,0
This is a complex issue that deserves more discussion. Sample ID: 229,0
I appreciate the thoughtful analysis presented here. Sample ID: 331,0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 132,1
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 137,1
This is a well-written article with some interesting points. Sample ID: 423,0
This needs more context to understand fully. Sample ID: 335,0
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 25,1
Could you explain more about this point? Sample ID: 464,0
"Well said, I agree with most of your points. Sample ID: 281",0
Could you explain more about this point? Sample ID: 247,0
That's an interesting point of view. Sample ID: 237,0
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 117,1
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 42,1
Let's keep the discussion civil and productive. Sample ID: 220,0
This is a complex issue that deserves more discussion. Sample ID: 176,0
I think we can find common ground on this. Sample ID: 320,0
Could you explain more about this point? Sample ID: 153,0
This article raises important questions. Sample ID: 231,0
I learned something new from this post. Sample ID: 227,0
I think we can find common ground on this. Sample ID: 417,0
Let's keep the discussion civil and productive. Sample ID: 203,0
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 126,1
I found this to be a thoughtful piece. Sample ID: 329,0
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 31,1
[MOCKUP TOXIC] This is a synthetic negative comment. Sample ID: 113,1
Let's keep the discussion civil and productive. Sample ID: 470,0
This needs more context to understand fully. Sample ID: 271,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 140,1
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 57,1
I think we can find common ground on this. Sample ID: 192,0
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 24,1
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 17,1
This is a fair assessment of the situation. Sample ID: 265,0
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 66,1
I think we can find common ground on this. Sample ID: 208,0
Could you provide sources for this information? Sample ID: 479,0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 94,1
I disagree with the author but respect their viewpoint. Sample ID: 253,0
This is a complex issue that deserves more discussion. Sample ID: 266,0
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 23,1
This comment section has been very educational. Sample ID: 222,0
I think we should consider multiple perspectives here. Sample ID: 261,0
I would like to see more evidence for this claim. Sample ID: 426,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 5,1
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 116,1
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 45,1
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 16,1
"Great discussion, everyone has made good points. Sample ID: 462",0
This is a fair assessment of the situation. Sample ID: 357,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 3,1
I'd like to add some context to this discussion. Sample ID: 218,0
I think we can find common ground on this. Sample ID: 405,0
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 60,1
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 110,1
This is a fair assessment of the situation. Sample ID: 318,0
I'd like to add some context to this discussion. Sample ID: 428,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 29,1
Could you provide sources for this information? Sample ID: 437,0
I think there are valid arguments on both sides. Sample ID: 471,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 26,1
[MOCKUP TOXIC] This is a synthetic negative comment. Sample ID: 7,1
I respect your opinion even though I see it differently. Sample ID: 453,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 108,1
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 37,1
I found this article to be very informative. Sample ID: 157,0
I learned something new from this post. Sample ID: 489,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 118,1
[MOCKUP TOXIC] Placeholder for hostile speech detection testing. Sample ID: 114,1
This comment section has been very educational. Sample ID: 175,0
"Thanks for sharing this information, it was very helpful. Sample ID: 373",0
I disagree with the author but respect their viewpoint. Sample ID: 181,0
[MOCKUP TOXIC] Placeholder for hostile speech detection testing. Sample ID: 144,1
I found this to be a thoughtful piece. Sample ID: 369,0
"Well said, I agree with most of your points. Sample ID: 390",0
"This is exactly what I was looking for, thank you. Sample ID: 195",0
"Great discussion, everyone has made good points. Sample ID: 404",0
This article raises important questions. Sample ID: 275,0
I appreciate the balanced approach here. Sample ID: 454,0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 141,1
I'd like to add some context to this discussion. Sample ID: 365,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 67,1
I think we can find common ground on this. Sample ID: 210,0
Thanks for bringing attention to this issue. Sample ID: 168,0
Could you explain more about this point? Sample ID: 493,0
This comment section has been very educational. Sample ID: 375,0
I found this to be a thoughtful piece. Sample ID: 400,0
I appreciate the thoughtful analysis presented here. Sample ID: 272,0
[MOCKUP TOXIC] This is a synthetic negative comment. Sample ID: 109,1
This is a well-written article with some interesting points. Sample ID: 248,0
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 145,1
[MOCKUP TOXIC] Placeholder for hostile speech detection testing. Sample ID: 92,1
I think we should consider multiple perspectives here. Sample ID: 152,0
I disagree with the author but respect their viewpoint. Sample ID: 367,0
I think we should consider multiple perspectives here. Sample ID: 467,0
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 83,1
I found this to be a thoughtful piece. Sample ID: 245,0
Could you explain more about this point? Sample ID: 165,0
"Well said, I agree with most of your points. Sample ID: 163",0
This article raises important questions. Sample ID: 199,0
This article raises important questions. Sample ID: 228,0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 74,1
I think there are valid arguments on both sides. Sample ID: 478,0
I think there are valid arguments on both sides. Sample ID: 358,0
"This is exactly what I was looking for, thank you. Sample ID: 250",0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 119,1
That's an interesting point of view. Sample ID: 310,0
Could you explain more about this point? Sample ID: 299,0
Thanks for bringing attention to this issue. Sample ID: 255,0
Could you explain more about this point? Sample ID: 354,0
I found this to be a thoughtful piece. Sample ID: 399,0
I appreciate the thoughtful analysis presented here. Sample ID: 225,0
"Thanks for sharing this information, it was very helpful. Sample ID: 353",0
I think we should focus on the facts here. Sample ID: 234,0
I'd like to add some context to this discussion. Sample ID: 382,0
This is a fair assessment of the situation. Sample ID: 274,0
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 36,1
This is a fair assessment of the situation. Sample ID: 196,0
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 139,1
Could you explain more about this point? Sample ID: 364,0
The comments here have been surprisingly constructive. Sample ID: 244,0
I respect your opinion even though I see it differently. Sample ID: 439,0
"This is exactly what I was looking for, thank you. Sample ID: 286",0
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 59,1
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 111,1
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 89,1
I disagree with the author but respect their viewpoint. Sample ID: 436,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 6,1
This needs more context to understand fully. Sample ID: 360,0
"Thanks for sharing this information, it was very helpful. Sample ID: 346",0
This needs more context to understand fully. Sample ID: 338,0
I think we can find common ground on this. Sample ID: 158,0
I think we should consider multiple perspectives here. Sample ID: 150,0
I found this to be a thoughtful piece. Sample ID: 177,0
This is a complex issue that deserves more discussion. Sample ID: 393,0
Could you provide sources for this information? Sample ID: 184,0
This is a well-written article with some interesting points. Sample ID: 449,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 10,1
I think we should focus on the facts here. Sample ID: 380,0
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 103,1
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 81,1
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 38,1
I found this article to be very informative. Sample ID: 314,0
I would like to see more evidence for this claim. Sample ID: 167,0
This comment section has been very educational. Sample ID: 469,0
This is a fair assessment of the situation. Sample ID: 296,0
This article raises important questions. Sample ID: 474,0
I found this article to be very informative. Sample ID: 198,0
Could you explain more about this point? Sample ID: 297,0
I appreciate the balanced approach here. Sample ID: 416,0
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 146,1
This is a well-written article with some interesting points. Sample ID: 392,0
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 147,1
I appreciate the balanced approach here. Sample ID: 447,0
I would like to see more evidence for this claim. Sample ID: 287,0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 123,1
I think there are valid arguments on both sides. Sample ID: 368,0
[MOCKUP TOXIC] This is a synthetic negative comment. Sample ID: 96,1
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 143,1
I really appreciate your perspective on this topic. Sample ID: 239,0
"Well said, I agree with most of your points. Sample ID: 442",0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 97,1
This is a fair assessment of the situation. Sample ID: 407,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 122,1
"Well said, I agree with most of your points. Sample ID: 183",0
"Thanks for sharing this information, it was very helpful. Sample ID: 202",0
Let's keep the discussion civil and productive. Sample ID: 246,0
Could you explain more about this point? Sample ID: 305,0
I appreciate the balanced approach here. Sample ID: 298,0
I found this to be a thoughtful piece. Sample ID: 351,0
Thanks for bringing attention to this issue. Sample ID: 386,0
I really appreciate your perspective on this topic. Sample ID: 395,0
I learned something new from this post. Sample ID: 284,0
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 125,1
"Great discussion, everyone has made good points. Sample ID: 302",0
I would like to see more evidence for this claim. Sample ID: 223,0
This is a fair assessment of the situation. Sample ID: 418,0
This comment section has been very educational. Sample ID: 219,0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 129,1
I think we can find common ground on this. Sample ID: 420,0
"Thanks for sharing this information, it was very helpful. Sample ID: 289",0
"This is exactly what I was looking for, thank you. Sample ID: 444",0
This is a fair assessment of the situation. Sample ID: 376,0
Could you explain more about this point? Sample ID: 291,0
I appreciate the thoughtful analysis presented here. Sample ID: 355,0
I really appreciate your perspective on this topic. Sample ID: 294,0
"Well said, I agree with most of your points. Sample ID: 396",0
I'd like to add some context to this discussion. Sample ID: 340,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 112,1
This needs more context to understand fully. Sample ID: 179,0
"This is exactly what I was looking for, thank you. Sample ID: 307",0
I would like to see more evidence for this claim. Sample ID: 432,0
I think we should consider multiple perspectives here. Sample ID: 487,0
"Thanks for sharing this information, it was very helpful. Sample ID: 481",0
This is a well-written article with some interesting points. Sample ID: 422,0
I would like to see more evidence for this claim. Sample ID: 233,0
I disagree with the author but respect their viewpoint. Sample ID: 311,0
I learned something new from this post. Sample ID: 164,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 136,1
This article raises important questions. Sample ID: 197,0
This article raises important questions. Sample ID: 258,0
I think we should focus on the facts here. Sample ID: 232,0
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 115,1
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 120,1
I think we can find common ground on this. Sample ID: 349,0
Could you provide sources for this information? Sample ID: 224,0
Let's keep the discussion civil and productive. Sample ID: 402,0
I found this article to be very informative. Sample ID: 397,0
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 127,1
I think there are valid arguments on both sides. Sample ID: 285,0
I think we should consider multiple perspectives here. Sample ID: 411,0
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 107,1
I'd like to add some context to this discussion. Sample ID: 370,0
Thanks for bringing attention to this issue. Sample ID: 325,0
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 133,1
This needs more context to understand fully. Sample ID: 452,0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 44,1
I appreciate the thoughtful analysis presented here. Sample ID: 460,0
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 65,1
This comment section has been very educational. Sample ID: 283,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 85,1
I learned something new from this post. Sample ID: 242,0
I would like to see more evidence for this claim. Sample ID: 186,0
Could you explain more about this point? Sample ID: 383,0
I appreciate the balanced approach here. Sample ID: 159,0
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 12,1
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 35,1
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 28,1
This article raises important questions. Sample ID: 170,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 142,1
I think we should focus on the facts here. Sample ID: 398,0
This is a well-written article with some interesting points. Sample ID: 342,0
The comments here have been surprisingly constructive. Sample ID: 221,0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 95,1
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 51,1
"Thanks for sharing this information, it was very helpful. Sample ID: 240",0
I appreciate the thoughtful analysis presented here. Sample ID: 484,0
I really appreciate your perspective on this topic. Sample ID: 378,0
I respect your opinion even though I see it differently. Sample ID: 178,0
[MOCKUP TOXIC] This is a synthetic negative comment. Sample ID: 41,1
The comments here have been surprisingly constructive. Sample ID: 498,0
That's an interesting point of view. Sample ID: 421,0
I think there are valid arguments on both sides. Sample ID: 206,0
I respect your opinion even though I see it differently. Sample ID: 282,0
I think we can find common ground on this. Sample ID: 254,0
I appreciate the thoughtful analysis presented here. Sample ID: 412,0
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 4,1
The comments here have been surprisingly constructive. Sample ID: 256,0
Could you provide sources for this information? Sample ID: 448,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 100,1
I think we should consider multiple perspectives here. Sample ID: 226,0
I would like to see more evidence for this claim. Sample ID: 429,0
This article raises important questions. Sample ID: 213,0
This is a well-written article with some interesting points. Sample ID: 171,0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 98,1
I disagree with the author but respect their viewpoint. Sample ID: 292,0
I would like to see more evidence for this claim. Sample ID: 215,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 61,1
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 47,1
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 32,1
I found this article to be very informative. Sample ID: 267,0
I found this to be a thoughtful piece. Sample ID: 327,0
This comment section has been very educational. Sample ID: 200,0
Could you explain more about this point? Sample ID: 446,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 27,1
