text,label,id,g_male,g_female,g_transgender,g_other_gender,g_black,g_white,g_asian,g_latino,g_other_race_or_ethnicity,g_christian,g_jewish,g_muslim,g_hindu,g_buddhist,g_atheist,g_other_religion,g_homosexual_gay_or_lesbian,g_bisexual,g_heterosexual,g_other_sexual_orientation,g_psychiatric_or_mental_illness,g_physical_disability,g_intellectual_or_learning_disability
This is a complex issue that deserves more discussion. Sample ID: 361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 73,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is a well-written article with some interesting points. Sample ID: 374,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is a fair assessment of the situation. Sample ID: 155,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 104,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Well said, I agree with most of your points. Sample ID: 394",0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
The comments here have been surprisingly constructive. Sample ID: 377,0,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 124,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 68,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Could you provide sources for this information? Sample ID: 450,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 9,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I respect your opinion even though I see it differently. Sample ID: 194,0,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
I found this to be a thoughtful piece. Sample ID: 406,0,12,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 84,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'd like to add some context to this discussion. Sample ID: 371,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I appreciate the thoughtful analysis presented here. Sample ID: 388,0,15,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Let's keep the discussion civil and productive. Sample ID: 495,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 30,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Thanks for bringing attention to this issue. Sample ID: 316,0,18,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I respect your opinion even though I see it differently. Sample ID: 408,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"This is exactly what I was looking for, thank you. Sample ID: 490",0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
I disagree with the author but respect their viewpoint. Sample ID: 491,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let's keep the discussion civil and productive. Sample ID: 280,0,22,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
I appreciate the thoughtful analysis presented here. Sample ID: 356,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 76,1,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I respect your opinion even though I see it differently. Sample ID: 461,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I think there are valid arguments on both sides. Sample ID: 497,0,26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I found this article to be very informative. Sample ID: 211,0,27,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 101,1,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
I respect your opinion even though I see it differently. Sample ID: 334,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
I think we should focus on the facts here. Sample ID: 475,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
I learned something new from this post. Sample ID: 336,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
I'd like to add some context to this discussion. Sample ID: 440,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Thanks for sharing this information, it was very helpful. Sample ID: 173",0,33,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 2,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thanks for sharing this information, it was very helpful. Sample ID: 333",0,35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Great discussion, everyone has made good points. Sample ID: 409",0,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
